name,headCount,lastRemoved,netWorth
A. Jayson Adair,64,2025-07-11T18:06:11.056Z,1.1
Abdulla Al Futtaim,14,2026-03-17T00:00:32.146Z,4.9
Abdulla Al Futtaim & family,38,2025-07-11T18:04:12.954Z,2.5
Abdulla bin Ahmad Al Ghurair,78,2025-12-02T22:32:15.665Z,4.9
Abdulla bin Ahmad Al Ghurair & family,129,2025-07-11T18:04:08.832Z,2.6
Abdulsamad Rabiu,53,2026-01-02T01:19:08.073Z,6
Abhay Firodia,15,2026-01-27T17:48:48.238Z,4.3
Abhay Soi,10,2025-10-19T02:54:34.966Z,3.4
Abigail Johnson,120,2026-02-23T17:36:44.154Z,37.3
Abilio dos Santos Diniz,19,2025-07-11T18:04:06.976Z,2.7
Acharya Balkrishna,10,2025-07-11T18:04:46.852Z,1.9
Adam Foroughi,44,2025-12-20T00:06:28.374Z,13.3
Adam Kwok,10,2025-07-11T18:04:25.957Z,2.3
Adam Neumann,214,2025-09-30T10:41:39.519Z,2.3
Adi Godrej,16,2025-08-26T17:23:30.989Z,4.5
Aerin Lauder,129,2025-07-11T18:03:34.753Z,3.5
Agnete Kirk Thinggaard,75,2026-03-22T23:59:42.547Z,7.7
Agoes Projosasmito,6,2026-01-10T15:08:38.515Z,5.8
Ahmet Calik,53,2025-07-11T18:05:21.773Z,1.5
Airat Shaimiev,115,2025-07-11T18:06:07.282Z,1.2
Ajay Jaisinghani,1,2025-08-31T02:36:23.114Z,1.6
Ajay Parekh,91,2025-07-11T18:04:37.773Z,2.1
Ajay Piramal,59,2026-03-29T17:56:08.517Z,3.5
Akio Nitori,11,2025-09-02T17:48:55.750Z,2.7
Akira Mori,13,2026-03-22T19:29:22.250Z,4.6
Akira Mori & family,121,2025-07-11T18:03:29.684Z,3.7
Alain Bouchard,98,2025-11-11T04:20:28.745Z,7.1
Alain Merieux,9,2026-02-10T03:03:15.302Z,8.4
Alain Merieux & family,9,2025-07-11T18:02:33.631Z,6.7
Alain Taravella,58,2025-07-11T18:04:51.747Z,1.9
Alain Wertheimer,285,2025-10-16T20:33:45.547Z,37.2
Alan Gerry,28,2025-07-11T18:05:25.277Z,1.5
Alan Howard,75,2026-03-16T22:56:13.932Z,3.9
Alan Miller & family,24,2025-07-11T18:05:29.627Z,1.5
Alan Trefler,75,2026-01-31T03:36:59.575Z,4.7
Alan Wilson,1,2026-01-01T02:13:36.376Z,2.8
Alan Zekelman,28,2025-07-12T00:52:23.146Z,1.7
Albert Avdolyan,18,2026-01-27T01:10:41.302Z,5
Albert Chao,4,2026-03-29T19:28:03.034Z,3.2
Albert Shigaboutdinov,103,2025-07-11T18:05:54.923Z,1.3
Alberto Alcocer,19,2025-07-11T18:05:45.788Z,1.3
Alberto Bombassei,46,2025-10-21T15:35:15.390Z,2.5
Alberto Cortina,38,2025-07-11T18:05:47.913Z,1.3
Alberto Palatchi,40,2026-01-28T20:05:43.146Z,2.9
Alberto Prada,51,2026-03-08T06:08:06.315Z,2.7
Alberto Roemmers,71,2025-07-24T21:54:40.885Z,2.4
Alberto Siccardi,6,2026-02-04T12:51:51.504Z,3.5
Alberto Siccardi & family,128,2025-07-11T18:04:21.562Z,2.4
Alceu Elias Feldmann,88,2025-11-22T22:12:50.498Z,3.4
Alec Gores,100,2025-07-11T18:04:10.475Z,2.6
Alejandro Bailleres Gual & siblings,111,2025-07-11T18:02:33.216Z,6.7
Alejandro Baillères Gual,1,2025-12-31T17:57:34.752Z,11.3
Alejandro Bulgheroni,119,2025-12-31T05:11:12.436Z,4.7
Alejandro Santo Domingo,23,2025-11-21T16:44:30.209Z,3.5
Alessandra Garavoglia,36,2025-12-05T07:52:03.903Z,2.7
Alex Atallah,94,2025-07-11T18:04:28.672Z,2.2
Alex Beard,10,2025-07-11T18:04:23.352Z,2.3
Alex Birkenstock,30,2025-08-09T19:39:15.631Z,1.9
Alex Shevchenko,123,2025-07-11T18:03:23.238Z,4
Alexander Abramov,76,2026-03-29T19:28:02.165Z,6
Alexander Frolov,138,2026-01-31T10:28:49.470Z,2.6
Alexander Gerko,14,2026-03-12T22:56:46.233Z,7.5
Alexander Karp,24,2026-03-24T23:07:17.030Z,14
Alexander Knauf,31,2025-07-11T18:06:15.399Z,1.1
Alexander Lutsenko,5,2025-12-27T18:47:49.182Z,2.5
Alexander Mamut,83,2025-07-11T18:04:37.406Z,2.1
Alexander Nesis,39,2025-07-11T18:04:50.158Z,1.9
Alexander Otto,80,2026-01-30T21:29:13.124Z,10.6
Alexander Ponomarenko,25,2025-08-08T21:19:43.606Z,2
Alexander Ramlie,8,2026-02-14T15:54:20.759Z,2.7
Alexander Sixt,58,2025-07-11T18:05:55.298Z,1.3
Alexander Skorobogatko,59,2025-07-11T18:04:45.080Z,2
Alexander Svetakov,36,2026-01-01T14:57:39.060Z,2.5
Alexander Tedja,68,2025-07-11T18:06:08.670Z,1.2
Alexandra Andresen,96,2025-07-19T13:50:37.833Z,1.3
Alexandra Daitch,40,2025-10-02T00:23:51.729Z,2
Alexandra Schoerghuber & family,10,2025-07-11T18:03:04.151Z,4.9
Alexandre Behring,49,2025-07-11T18:02:57.747Z,5.1
Alexandre Grendene Bartelle,18,2025-10-13T22:21:34.267Z,2.6
Alexandre Van Damme,8,2025-10-15T00:25:20.968Z,3.9
Alexei Kuzmichev,96,2026-03-04T07:19:17.595Z,7.7
Alexey Mordashov,181,2025-11-26T21:13:35.394Z,28.6
Alexey Repik,85,2026-03-23T00:26:05.773Z,2.8
Alexis Lê-Quôc,56,2026-02-10T13:58:55.342Z,2.9
Alfred Gantner,35,2026-01-03T17:36:47.985Z,3.5
Alfred Oetker,11,2025-07-11T18:03:42.424Z,3.3
"Alfred West, Jr.",86,2025-07-11T18:05:57.170Z,1.3
Alfredo Egydio Arruda Villela Filho,73,2025-07-30T13:43:59.151Z,1.8
Alfredo Harp Helu & family,103,2025-07-11T18:05:49.712Z,1.3
Ali Erdemoglu,39,2026-03-02T22:27:05.414Z,2.5
Ali Ghodsi,6,2025-07-11T18:04:55.082Z,1.8
Alice Schwartz,123,2025-12-05T20:52:46.483Z,2.5
Alice Walton,293,2025-12-14T23:32:47.006Z,106.9
Alicia Koplowitz,28,2026-01-25T07:45:45.071Z,3.2
Aliko Dangote,90,2026-01-04T22:29:36.823Z,24.1
Alisher Usmanov,40,2026-03-12T22:53:01.627Z,16.8
Allan Goldman,71,2025-07-11T18:04:00.781Z,2.8
Allan Wong,5,2025-07-11T18:06:21.587Z,1.1
Aloke Lohia,69,2025-07-11T18:04:15.763Z,2.5
Aloys Wobben,48,2025-07-11T18:02:46.296Z,5.8
Alpana Dangi,1,2025-09-21T16:18:32.271Z,3.8
Amancio Ortega,68,2026-02-22T02:37:59.806Z,119.1
